,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
860,0,86.0,2217,11.349321588000002,"[0, 2, 4, 1, 2, 0, 2, 1, 0, 1]",130,100000,64
861,100000,173.0,2235,11.447388943,"[0, 3, 4, 3, 2, 4, 2, 1, 4, 1]",130,100000,64
862,0,194.0,2235,11.533259019999996,"[0, 4, 0, 4, 4, 2, 4, 4, 3, 4]",130,100000,65
863,100000,220.0,2257,11.637898976999999,"[0, 4, 0, 4, 4, 4, 4, 4, 4, 4]",130,100000,65
864,0,114.0,2257,11.723975935000006,"[1, 1, 1, 4, 2, 1, 3, 3, 2, 0]",130,100000,66
865,100000,219.0,2310,11.852927959000006,"[3, 4, 2, 4, 4, 4, 3, 4, 2, 3]",130,100000,66
866,0,86.0,2310,11.936787020000004,"[3, 2, 2, 1, 0, 1, 2, 1, 1, 2]",130,100000,67
867,100000,171.0,2350,12.056891033999996,"[3, 3, 3, 3, 1, 1, 4, 4, 4, 2]",130,100000,67
868,0,105.0,2350,12.142786698000002,"[1, 1, 2, 4, 0, 1, 4, 4, 0, 1]",130,100000,68
869,100000,198.0,2385,12.256073082000007,"[4, 1, 2, 4, 2, 3, 4, 4, 3, 4]",130,100000,68
870,0,169.0,2385,12.342419102000001,"[4, 2, 3, 0, 4, 1, 1, 4, 2, 4]",130,100000,69
871,100000,169.0,2395,12.439555125000005,"[4, 2, 3, 0, 4, 1, 1, 4, 2, 4]",130,100000,69
872,0,45.0,2395,12.524093760999996,"[1, 0, 0, 2, 0, 0, 2, 0, 0, 3]",130,100000,70
873,100000,191.0,2441,12.649840058000002,"[4, 0, 4, 3, 2, 4, 2, 4, 2, 3]",130,100000,70
874,0,139.0,2441,12.732990980000004,"[4, 0, 1, 3, 1, 4, 4, 3, 3, 0]",130,100000,71
875,100000,181.0,2467,12.83981741200001,"[4, 0, 2, 3, 3, 4, 4, 3, 4, 1]",130,100000,71
876,0,168.0,2467,12.928225861999998,"[3, 3, 2, 2, 4, 0, 1, 4, 3, 3]",130,100000,72
877,100000,181.0,2486,13.031123631999996,"[3, 4, 2, 2, 4, 0, 1, 4, 4, 3]",130,100000,72
878,0,135.0,2486,13.119116799000004,"[3, 4, 1, 0, 1, 4, 0, 3, 4, 0]",130,100000,73
